['ratel', 'alter']
['rates', 'tears']
['rates', 'aster']
['rates', 'stare']
['react', 'carte']
['ready', 'deary']
['rebut', 'tuber']
['rebut', 'buret']
['recap', 'pacer']
['recap', 'crape']
['recap', 'caper']
['regal', 'glare']
['regal', 'large']
['regal', 'lager']
['reify', 'fiery']
['reins', 'rinse']
['reins', 'resin']
['reins', 'risen']
['reins', 'serin']
['relay', 'layer']
['remit', 'merit']
['remit', 'timer']
['remit', 'mitre']
['remit', 'miter']
['renin', 'inner']
['renin', 'niner']
['repay', 'apery']
['reply', 'plyer']
['repot', 'toper']
['repot', 'trope']
['reset', 'ester']
['reset', 'teres']
['reset', 'steer']
['reset', 'terse']
['resin', 'risen']
['resin', 'serin']
['retch', 'chert']
['retem', 'metre']
['retem', 'meter']
['revel', 'elver']
['riata', 'taira']
['ricer', 'crier']
['ridge', 'dirge']
['rifle', 'lifer']
['rifle', 'filer']
['rifle', 'flier']
['rinse', 'resin']
['rinse', 'risen']
['rinse', 'serin']
['risen', 'serin']
['rival', 'viral']
['roach', 'orach']
['robed', 'bored']
['rondo', 'donor']
['roost', 'roots']
['rosin', 'irons']
['rouge', 'rogue']
['route', 'outre']
['route', 'outer']
['rowel', 'lower']
['rubor', 'burro']
['rumba', 'umbra']
['rupee', 'puree']
['sabin', 'basin']
['sabre', 'saber']
['sadhe', 'shade']
['saint', 'stain']
['salai', 'alias']
['salon', 'solan']
['satin', 'saint']
['satin', 'stain']
['scarp', 'scrap']
['scarp', 'craps']
['scene', 'cense']
['scrap', 'craps']
['seats', 'tasse']
['sente', 'teens']
['sente', 'tense']
['serow', 'worse']
['serum', 'muser']
['servo', 'verso']
['sever', 'verse']
['sever', 'serve']
['sewer', 'resew']
['shape', 'heaps']
['share', 'shear']
['shelf', 'flesh']
['shook', 'hooks']
['shoot', 'sooth']
['shore', 'horse']
['short', 'horst']
['shred', 'sherd']
['shrub', 'brush']
['silex', 'lexis']
['simal', 'salmi']
['sinew', 'swine']
['sinus', 'nisus']
['skate', 'steak']
['skate', 'stake']
['skirt', 'stirk']
['slang', 'glans']
['slate', 'tesla']
['slate', 'stela']
['slate', 'steal']
['slaty', 'salty']
['slave', 'salve']
